day	positive%	neutral%	negative%
2024-01-01	50.00	0.00	50.00
2024-01-02	33.33	66.67	0.00
2024-01-03	60.00	0.00	40.00
2024-01-04	33.33	33.33	33.33
2024-01-05	33.33	66.67	0.00
2024-01-06	37.50	37.50	25.00
2024-01-07	66.67	33.33	0.00
2024-01-08	0.00	100.00	0.00
2024-01-09	50.00	50.00	0.00
2024-01-10	100.00	0.00	0.00
2024-01-11	0.00	100.00	0.00
2024-01-12	0.00	100.00	0.00
2024-01-13	50.00	50.00	0.00
2024-01-14	20.00	20.00	60.00
2024-01-15	0.00	100.00	0.00
2024-01-16	0.00	25.00	75.00
2024-01-17	25.00	50.00	25.00
2024-01-18	0.00	100.00	0.00
2024-01-19	100.00	0.00	0.00
2024-01-20	0.00	50.00	50.00
2024-01-21	100.00	0.00	0.00
2024-01-22	60.00	20.00	20.00
2024-01-23	75.00	25.00	0.00
2024-01-24	100.00	0.00	0.00
2024-01-25	0.00	66.67	33.33
2024-01-26	75.00	0.00	25.00
2024-01-27	40.00	60.00	0.00
2024-01-28	50.00	0.00	50.00
2024-01-29	50.00	50.00	0.00
2024-01-30	50.00	50.00	0.00
2024-01-31	50.00	50.00	0.00
2024-02-01	66.67	33.33	0.00
2024-02-02	0.00	66.67	33.33
2024-02-03	50.00	50.00	0.00
2024-02-04	0.00	100.00	0.00
2024-02-06	20.00	60.00	20.00
2024-02-07	33.33	66.67	0.00
2024-02-10	100.00	0.00	0.00
2024-02-11	33.33	66.67	0.00
2024-02-12	66.67	33.33	0.00
2024-02-13	20.00	60.00	20.00
2024-02-14	0.00	100.00	0.00
2024-02-15	60.00	40.00	0.00
2024-02-16	0.00	100.00	0.00
2024-02-18	0.00	0.00	100.00
2024-02-19	33.33	66.67	0.00
2024-02-20	40.00	60.00	0.00
2024-02-21	33.33	66.67	0.00
2024-02-22	0.00	100.00	0.00
2024-02-24	33.33	33.33	33.33
2024-02-25	50.00	50.00	0.00
2024-02-26	33.33	66.67	0.00
2024-02-27	0.00	100.00	0.00
2024-02-28	0.00	100.00	0.00
2024-02-29	0.00	100.00	0.00
2024-03-01	0.00	100.00	0.00
2024-03-02	0.00	100.00	0.00
