day	positive%	neutral%	negative%	event
2024-01-01	50.0	0.0	50.0	Negative Spike
2024-01-10	100.0	0.0	0.0	Positive Spike
2024-01-14	20.0	20.0	60.0	Negative Spike
2024-01-16	0.0	25.0	75.0	Negative Spike
2024-01-19	100.0	0.0	0.0	Positive Spike
2024-01-20	0.0	50.0	50.0	Negative Spike
2024-01-21	100.0	0.0	0.0	Positive Spike
2024-01-24	100.0	0.0	0.0	Positive Spike
2024-01-28	50.0	0.0	50.0	Negative Spike
2024-02-10	100.0	0.0	0.0	Positive Spike
2024-02-18	0.0	0.0	100.0	Negative Spike
2024-03-03	50.0	0.0	50.0	Negative Spike
2024-03-07	100.0	0.0	0.0	Positive Spike
2024-03-09	33.33	0.0	66.67	Negative Spike
2024-03-14	100.0	0.0	0.0	Positive Spike
2024-03-16	0.0	0.0	100.0	Negative Spike
2024-03-24	100.0	0.0	0.0	Positive Spike
2024-03-29	0.0	50.0	50.0	Negative Spike
2024-03-30	100.0	0.0	0.0	Positive Spike
2024-03-31	33.33	0.0	66.67	Negative Spike
2024-04-07	0.0	50.0	50.0	Negative Spike
2024-04-11	100.0	0.0	0.0	Positive Spike
2024-04-14	100.0	0.0	0.0	Positive Spike
2024-04-19	100.0	0.0	0.0	Positive Spike
2024-05-03	100.0	0.0	0.0	Positive Spike
2024-05-20	50.0	0.0	50.0	Negative Spike
2024-05-26	50.0	0.0	50.0	Negative Spike
2024-05-27	100.0	0.0	0.0	Positive Spike
2024-06-04	25.0	25.0	50.0	Negative Spike
2024-06-05	100.0	0.0	0.0	Positive Spike
2024-06-09	25.0	25.0	50.0	Negative Spike
2024-07-02	50.0	0.0	50.0	Negative Spike
2024-07-05	100.0	0.0	0.0	Positive Spike
2024-07-10	100.0	0.0	0.0	Positive Spike
2024-07-14	100.0	0.0	0.0	Positive Spike
2024-07-17	0.0	0.0	100.0	Negative Spike
2024-07-24	100.0	0.0	0.0	Positive Spike
2024-07-28	100.0	0.0	0.0	Positive Spike
2024-07-30	100.0	0.0	0.0	Positive Spike
2024-08-02	100.0	0.0	0.0	Positive Spike
2024-08-20	100.0	0.0	0.0	Positive Spike
2024-08-22	100.0	0.0	0.0	Positive Spike
2024-08-31	0.0	0.0	100.0	Negative Spike
2024-09-02	100.0	0.0	0.0	Positive Spike
2024-09-03	100.0	0.0	0.0	Positive Spike
2024-09-06	100.0	0.0	0.0	Positive Spike
2024-09-08	100.0	0.0	0.0	Positive Spike
2024-09-13	0.0	50.0	50.0	Negative Spike
2024-09-16	100.0	0.0	0.0	Positive Spike
2024-09-18	100.0	0.0	0.0	Positive Spike
2024-09-20	0.0	0.0	100.0	Negative Spike
2024-09-23	0.0	33.33	66.67	Negative Spike
2024-09-30	100.0	0.0	0.0	Positive Spike
2024-10-10	100.0	0.0	0.0	Positive Spike
2024-10-20	0.0	50.0	50.0	Negative Spike
2024-10-23	0.0	50.0	50.0	Negative Spike
2024-10-30	100.0	0.0	0.0	Positive Spike
2024-10-31	100.0	0.0	0.0	Positive Spike
2024-11-05	100.0	0.0	0.0	Positive Spike
2024-11-09	50.0	0.0	50.0	Negative Spike
2024-11-11	100.0	0.0	0.0	Positive Spike
2024-11-22	100.0	0.0	0.0	Positive Spike
2024-11-26	50.0	0.0	50.0	Negative Spike
2024-12-01	100.0	0.0	0.0	Positive Spike
2024-12-09	100.0	0.0	0.0	Positive Spike
2024-12-15	0.0	0.0	100.0	Negative Spike
2024-12-18	100.0	0.0	0.0	Positive Spike
2024-12-27	100.0	0.0	0.0	Positive Spike
2024-12-28	100.0	0.0	0.0	Positive Spike
